0,1,2,3,4,5,6,7,8,9,10
979.0,999.0,1169.0,1274.0,1362.0,1219.0,1025.0,1044.0,996.0,870.0,779.0
999.0,1169.0,1274.0,1362.0,1219.0,1025.0,1044.0,996.0,870.0,779.0,756.0
1169.0,1274.0,1362.0,1219.0,1025.0,1044.0,996.0,870.0,779.0,756.0,829.0
1274.0,1362.0,1219.0,1025.0,1044.0,996.0,870.0,779.0,756.0,829.0,883.0
1362.0,1219.0,1025.0,1044.0,996.0,870.0,779.0,756.0,829.0,883.0,1056.0
1219.0,1025.0,1044.0,996.0,870.0,779.0,756.0,829.0,883.0,1056.0,1071.0
1025.0,1044.0,996.0,870.0,779.0,756.0,829.0,883.0,1056.0,1071.0,1010.0
1044.0,996.0,870.0,779.0,756.0,829.0,883.0,1056.0,1071.0,1010.0,885.0
996.0,870.0,779.0,756.0,829.0,883.0,1056.0,1071.0,1010.0,885.0,1029.0
870.0,779.0,756.0,829.0,883.0,1056.0,1071.0,1010.0,885.0,1029.0,989.0
779.0,756.0,829.0,883.0,1056.0,1071.0,1010.0,885.0,1029.0,989.0,981.0
756.0,829.0,883.0,1056.0,1071.0,1010.0,885.0,1029.0,989.0,981.0,1114.0
829.0,883.0,1056.0,1071.0,1010.0,885.0,1029.0,989.0,981.0,1114.0,822.0
883.0,1056.0,1071.0,1010.0,885.0,1029.0,989.0,981.0,1114.0,822.0,1052.0
1056.0,1071.0,1010.0,885.0,1029.0,989.0,981.0,1114.0,822.0,1052.0,1119.0
1071.0,1010.0,885.0,1029.0,989.0,981.0,1114.0,822.0,1052.0,1119.0,988.0
1010.0,885.0,1029.0,989.0,981.0,1114.0,822.0,1052.0,1119.0,988.0,871.0
885.0,1029.0,989.0,981.0,1114.0,822.0,1052.0,1119.0,988.0,871.0,995.0
1029.0,989.0,981.0,1114.0,822.0,1052.0,1119.0,988.0,871.0,995.0,1058.0
989.0,981.0,1114.0,822.0,1052.0,1119.0,988.0,871.0,995.0,1058.0,1099.0
981.0,1114.0,822.0,1052.0,1119.0,988.0,871.0,995.0,1058.0,1099.0,1102.0
1114.0,822.0,1052.0,1119.0,988.0,871.0,995.0,1058.0,1099.0,1102.0,1128.0
822.0,1052.0,1119.0,988.0,871.0,995.0,1058.0,1099.0,1102.0,1128.0,955.0
1052.0,1119.0,988.0,871.0,995.0,1058.0,1099.0,1102.0,1128.0,955.0,879.0
1119.0,988.0,871.0,995.0,1058.0,1099.0,1102.0,1128.0,955.0,879.0,998.0
988.0,871.0,995.0,1058.0,1099.0,1102.0,1128.0,955.0,879.0,998.0,1087.0
871.0,995.0,1058.0,1099.0,1102.0,1128.0,955.0,879.0,998.0,1087.0,1080.0
995.0,1058.0,1099.0,1102.0,1128.0,955.0,879.0,998.0,1087.0,1080.0,875.0
1058.0,1099.0,1102.0,1128.0,955.0,879.0,998.0,1087.0,1080.0,875.0,955.0
1099.0,1102.0,1128.0,955.0,879.0,998.0,1087.0,1080.0,875.0,955.0,1194.0
